Timestamp,Value,Value_Classification,BTC_Closing,BTC_Volume,Hour,DayOfWeek
2020-02-16 13:00:00,59.0,Greed,9934.43359375,43374780305,13,6
2020-02-16 14:00:00,59.0,Greed,9934.43359375,43374780305,14,6
2020-02-16 15:00:00,59.0,Greed,9934.43359375,43374780305,15,6
2020-02-16 16:00:00,59.0,Greed,9934.43359375,43374780305,16,6
2020-02-16 17:00:00,59.0,Greed,9934.43359375,43374780305,17,6
2020-02-16 18:00:00,59.0,Greed,9934.43359375,43374780305,18,6
2020-02-16 19:00:00,59.0,Greed,9934.43359375,43374780305,19,6
2020-02-16 20:00:00,59.0,Greed,9934.43359375,43374780305,20,6
2020-02-16 21:00:00,59.0,Greed,9934.43359375,43374780305,21,6
2020-02-16 22:00:00,59.0,Greed,9934.43359375,43374780305,22,6
2020-02-16 23:00:00,59.0,Greed,9934.43359375,43374780305,23,6
2020-02-17 00:00:00,49.0,Neutral,9690.142578125,45998298413,0,0
2020-02-17 01:00:00,49.0,Neutral,9690.142578125,45998298413,1,0
2020-02-17 02:00:00,49.0,Neutral,9690.142578125,45998298413,2,0
2020-02-17 03:00:00,49.0,Neutral,9690.142578125,45998298413,3,0
2020-02-17 04:00:00,49.0,Neutral,9690.142578125,45998298413,4,0
2020-02-17 05:00:00,49.0,Neutral,9690.142578125,45998298413,5,0
2020-02-17 06:00:00,49.0,Neutral,9690.142578125,45998298413,6,0
2020-02-17 07:00:00,49.0,Neutral,9690.142578125,45998298413,7,0
2020-02-17 08:00:00,49.0,Neutral,9690.142578125,45998298413,8,0
2020-02-17 09:00:00,49.0,Neutral,9690.142578125,45998298413,9,0
2020-02-17 10:00:00,49.0,Neutral,9690.142578125,45998298413,10,0
2020-02-17 11:00:00,49.0,Neutral,9690.142578125,45998298413,11,0
2020-02-17 12:00:00,49.0,Neutral,9690.142578125,45998298413,12,0
2020-02-17 13:00:00,49.0,Neutral,9690.142578125,45998298413,13,0
2020-02-17 14:00:00,49.0,Neutral,9690.142578125,45998298413,14,0
2020-02-17 15:00:00,49.0,Neutral,9690.142578125,45998298413,15,0
2020-02-17 16:00:00,49.0,Neutral,9690.142578125,45998298413,16,0
2020-02-17 17:00:00,49.0,Neutral,9690.142578125,45998298413,17,0
2020-02-17 18:00:00,49.0,Neutral,9690.142578125,45998298413,18,0
2020-02-17 19:00:00,49.0,Neutral,9690.142578125,45998298413,19,0
2020-02-17 20:00:00,49.0,Neutral,9690.142578125,45998298413,20,0
2020-02-17 21:00:00,49.0,Neutral,9690.142578125,45998298413,21,0
2020-02-17 22:00:00,49.0,Neutral,9690.142578125,45998298413,22,0
2020-02-17 23:00:00,49.0,Neutral,9690.142578125,45998298413,23,0
2020-02-18 00:00:00,53.0,Neutral,10141.99609375,47271023953,0,1
2020-02-18 01:00:00,53.0,Neutral,10141.99609375,47271023953,1,1
2020-02-18 02:00:00,53.0,Neutral,10141.99609375,47271023953,2,1
2020-02-18 03:00:00,53.0,Neutral,10141.99609375,47271023953,3,1
2020-02-18 04:00:00,53.0,Neutral,10141.99609375,47271023953,4,1
2020-02-18 05:00:00,53.0,Neutral,10141.99609375,47271023953,5,1
2020-02-18 06:00:00,53.0,Neutral,10141.99609375,47271023953,6,1
2020-02-18 07:00:00,53.0,Neutral,10141.99609375,47271023953,7,1
2020-02-18 08:00:00,53.0,Neutral,10141.99609375,47271023953,8,1
2020-02-18 09:00:00,53.0,Neutral,10141.99609375,47271023953,9,1
2020-02-18 10:00:00,53.0,Neutral,10141.99609375,47271023953,10,1
2020-02-18 11:00:00,53.0,Neutral,10141.99609375,47271023953,11,1
2020-02-18 12:00:00,53.0,Neutral,10141.99609375,47271023953,12,1
2020-02-18 13:00:00,53.0,Neutral,10141.99609375,47271023953,13,1
2020-02-18 14:00:00,53.0,Neutral,10141.99609375,47271023953,14,1
2020-02-18 15:00:00,53.0,Neutral,10141.99609375,47271023953,15,1
2020-02-18 16:00:00,53.0,Neutral,10141.99609375,47271023953,16,1
2020-02-18 17:00:00,53.0,Neutral,10141.99609375,47271023953,17,1
2020-02-18 18:00:00,53.0,Neutral,10141.99609375,47271023953,18,1
2020-02-18 19:00:00,53.0,Neutral,10141.99609375,47271023953,19,1
2020-02-18 20:00:00,53.0,Neutral,10141.99609375,47271023953,20,1
2020-02-18 21:00:00,53.0,Neutral,10141.99609375,47271023953,21,1
2020-02-18 22:00:00,53.0,Neutral,10141.99609375,47271023953,22,1
2020-02-18 23:00:00,53.0,Neutral,10141.99609375,47271023953,23,1
2020-02-19 00:00:00,50.0,Neutral,9633.38671875,46992019710,0,2
2020-02-19 01:00:00,50.0,Neutral,9633.38671875,46992019710,1,2
2020-02-19 02:00:00,50.0,Neutral,9633.38671875,46992019710,2,2
2020-02-19 03:00:00,50.0,Neutral,9633.38671875,46992019710,3,2
2020-02-19 04:00:00,50.0,Neutral,9633.38671875,46992019710,4,2
2020-02-19 05:00:00,50.0,Neutral,9633.38671875,46992019710,5,2
2020-02-19 06:00:00,50.0,Neutral,9633.38671875,46992019710,6,2
2020-02-19 07:00:00,50.0,Neutral,9633.38671875,46992019710,7,2
2020-02-19 08:00:00,50.0,Neutral,9633.38671875,46992019710,8,2
2020-02-19 09:00:00,50.0,Neutral,9633.38671875,46992019710,9,2
2020-02-19 10:00:00,50.0,Neutral,9633.38671875,46992019710,10,2
2020-02-19 11:00:00,50.0,Neutral,9633.38671875,46992019710,11,2
2020-02-19 12:00:00,50.0,Neutral,9633.38671875,46992019710,12,2
2020-02-19 13:00:00,50.0,Neutral,9633.38671875,46992019710,13,2
2020-02-19 14:00:00,50.0,Neutral,9633.38671875,46992019710,14,2
2020-02-19 15:00:00,50.0,Neutral,9633.38671875,46992019710,15,2
2020-02-19 16:00:00,50.0,Neutral,9633.38671875,46992019710,16,2
2020-02-19 17:00:00,50.0,Neutral,9633.38671875,46992019710,17,2
2020-02-19 18:00:00,50.0,Neutral,9633.38671875,46992019710,18,2
2020-02-19 19:00:00,50.0,Neutral,9633.38671875,46992019710,19,2
2020-02-19 20:00:00,50.0,Neutral,9633.38671875,46992019710,20,2
2020-02-19 21:00:00,50.0,Neutral,9633.38671875,46992019710,21,2
2020-02-19 22:00:00,50.0,Neutral,9633.38671875,46992019710,22,2
2020-02-19 23:00:00,50.0,Neutral,9633.38671875,46992019710,23,2
2020-02-20 00:00:00,44.0,Fear,9608.4755859375,44925260237,0,3
2020-02-20 01:00:00,44.0,Fear,9608.4755859375,44925260237,1,3
2020-02-20 02:00:00,44.0,Fear,9608.4755859375,44925260237,2,3
2020-02-20 03:00:00,44.0,Fear,9608.4755859375,44925260237,3,3
2020-02-20 04:00:00,44.0,Fear,9608.4755859375,44925260237,4,3
2020-02-20 05:00:00,44.0,Fear,9608.4755859375,44925260237,5,3
2020-02-20 06:00:00,44.0,Fear,9608.4755859375,44925260237,6,3
2020-02-20 07:00:00,44.0,Fear,9608.4755859375,44925260237,7,3
2020-02-20 08:00:00,44.0,Fear,9608.4755859375,44925260237,8,3
2020-02-20 09:00:00,44.0,Fear,9608.4755859375,44925260237,9,3
2020-02-20 10:00:00,44.0,Fear,9608.4755859375,44925260237,10,3
2020-02-20 11:00:00,44.0,Fear,9608.4755859375,44925260237,11,3
2020-02-20 12:00:00,44.0,Fear,9608.4755859375,44925260237,12,3
2020-02-20 13:00:00,44.0,Fear,9608.4755859375,44925260237,13,3
2020-02-20 14:00:00,44.0,Fear,9608.4755859375,44925260237,14,3
2020-02-20 15:00:00,44.0,Fear,9608.4755859375,44925260237,15,3
2020-02-20 16:00:00,44.0,Fear,9608.4755859375,44925260237,16,3
2020-02-20 17:00:00,44.0,Fear,9608.4755859375,44925260237,17,3
2020-02-20 18:00:00,44.0,Fear,9608.4755859375,44925260237,18,3
2020-02-20 19:00:00,44.0,Fear,9608.4755859375,44925260237,19,3
2020-02-20 20:00:00,44.0,Fear,9608.4755859375,44925260237,20,3
2020-02-20 21:00:00,44.0,Fear,9608.4755859375,44925260237,21,3
2020-02-20 22:00:00,44.0,Fear,9608.4755859375,44925260237,22,3
2020-02-20 23:00:00,44.0,Fear,9608.4755859375,44925260237,23,3
2020-02-21 00:00:00,44.0,Fear,9686.44140625,40930547513,0,4
2020-02-21 01:00:00,44.0,Fear,9686.44140625,40930547513,1,4
2020-02-21 02:00:00,44.0,Fear,9686.44140625,40930547513,2,4
2020-02-21 03:00:00,44.0,Fear,9686.44140625,40930547513,3,4
2020-02-21 04:00:00,44.0,Fear,9686.44140625,40930547513,4,4
2020-02-21 05:00:00,44.0,Fear,9686.44140625,40930547513,5,4
2020-02-21 06:00:00,44.0,Fear,9686.44140625,40930547513,6,4
2020-02-21 07:00:00,44.0,Fear,9686.44140625,40930547513,7,4
2020-02-21 08:00:00,44.0,Fear,9686.44140625,40930547513,8,4
2020-02-21 09:00:00,44.0,Fear,9686.44140625,40930547513,9,4
2020-02-21 10:00:00,44.0,Fear,9686.44140625,40930547513,10,4
2020-02-21 11:00:00,44.0,Fear,9686.44140625,40930547513,11,4
2020-02-21 12:00:00,44.0,Fear,9686.44140625,40930547513,12,4
2020-02-21 13:00:00,44.0,Fear,9686.44140625,40930547513,13,4
2020-02-21 14:00:00,44.0,Fear,9686.44140625,40930547513,14,4
2020-02-21 15:00:00,44.0,Fear,9686.44140625,40930547513,15,4
2020-02-21 16:00:00,44.0,Fear,9686.44140625,40930547513,16,4
2020-02-21 17:00:00,44.0,Fear,9686.44140625,40930547513,17,4
2020-02-21 18:00:00,44.0,Fear,9686.44140625,40930547513,18,4
2020-02-21 19:00:00,44.0,Fear,9686.44140625,40930547513,19,4
2020-02-21 20:00:00,44.0,Fear,9686.44140625,40930547513,20,4
2020-02-21 21:00:00,44.0,Fear,9686.44140625,40930547513,21,4
2020-02-21 22:00:00,44.0,Fear,9686.44140625,40930547513,22,4
2020-02-21 23:00:00,44.0,Fear,9686.44140625,40930547513,23,4
2020-02-22 00:00:00,43.0,Fear,9663.181640625,35838025154,0,5
2020-02-22 01:00:00,43.0,Fear,9663.181640625,35838025154,1,5
2020-02-22 02:00:00,43.0,Fear,9663.181640625,35838025154,2,5
2020-02-22 03:00:00,43.0,Fear,9663.181640625,35838025154,3,5
2020-02-22 04:00:00,43.0,Fear,9663.181640625,35838025154,4,5
2020-02-22 05:00:00,43.0,Fear,9663.181640625,35838025154,5,5
2020-02-22 06:00:00,43.0,Fear,9663.181640625,35838025154,6,5
2020-02-22 07:00:00,43.0,Fear,9663.181640625,35838025154,7,5
2020-02-22 08:00:00,43.0,Fear,9663.181640625,35838025154,8,5
2020-02-22 09:00:00,43.0,Fear,9663.181640625,35838025154,9,5
2020-02-22 10:00:00,43.0,Fear,9663.181640625,35838025154,10,5
2020-02-22 11:00:00,43.0,Fear,9663.181640625,35838025154,11,5
2020-02-22 12:00:00,43.0,Fear,9663.181640625,35838025154,12,5
2020-02-22 13:00:00,43.0,Fear,9663.181640625,35838025154,13,5
2020-02-22 14:00:00,43.0,Fear,9663.181640625,35838025154,14,5
2020-02-22 15:00:00,43.0,Fear,9663.181640625,35838025154,15,5
2020-02-22 16:00:00,43.0,Fear,9663.181640625,35838025154,16,5
2020-02-22 17:00:00,43.0,Fear,9663.181640625,35838025154,17,5
2020-02-22 18:00:00,43.0,Fear,9663.181640625,35838025154,18,5
2020-02-22 19:00:00,43.0,Fear,9663.181640625,35838025154,19,5
2020-02-22 20:00:00,43.0,Fear,9663.181640625,35838025154,20,5
2020-02-22 21:00:00,43.0,Fear,9663.181640625,35838025154,21,5
2020-02-22 22:00:00,43.0,Fear,9663.181640625,35838025154,22,5
2020-02-22 23:00:00,43.0,Fear,9663.181640625,35838025154,23,5
2020-02-23 00:00:00,46.0,Neutral,9924.515625,41185185761,0,6
2020-02-23 01:00:00,46.0,Neutral,9924.515625,41185185761,1,6
2020-02-23 02:00:00,46.0,Neutral,9924.515625,41185185761,2,6
2020-02-23 03:00:00,46.0,Neutral,9924.515625,41185185761,3,6
2020-02-23 04:00:00,46.0,Neutral,9924.515625,41185185761,4,6
2020-02-23 05:00:00,46.0,Neutral,9924.515625,41185185761,5,6
2020-02-23 06:00:00,46.0,Neutral,9924.515625,41185185761,6,6
2020-02-23 07:00:00,46.0,Neutral,9924.515625,41185185761,7,6
2020-02-23 08:00:00,46.0,Neutral,9924.515625,41185185761,8,6
2020-02-23 09:00:00,46.0,Neutral,9924.515625,41185185761,9,6
2020-02-23 10:00:00,46.0,Neutral,9924.515625,41185185761,10,6
2020-02-23 11:00:00,46.0,Neutral,9924.515625,41185185761,11,6
