index,timestamp,typical_price_first,typical_price_last,min_max_range,volume_sum,volume_std,number_of_trades_sum,number_of_trades_mean,quote_ratio_mean,quote_ratio_max,taker_buy_base_ratio_mean,taker_buy_base_ratio_max,taker_buy_quote_ratio_mean,taker_buy_quote_ratio_max,flag_mean,vola_current_range,vola_composite_index,ret_1m_log,ret_60m_future
33939,2021-07-01 07:00:00,33502.020000000004,33388.020000000004,351.9200000000056,5990.287443,90.63672281467107,99147,1652.45,33517.15248204697,33623.660107109834,0.5251062552618456,0.8377415399128294,17601.076426180636,28047.694329794813,1.0,0.0017391550601407,0.7788691910825438,-8.123513990644897e-05,-0.0024542068255415
33940,2021-07-01 08:00:00,33374.685,33473.350000000006,359.0,3548.155633,61.005284682488046,64970,1082.8333333333333,33435.04099063241,33520.39239312756,0.5084906982396972,0.7253632273461131,17003.32536496997,24198.896291395355,1.0,0.0018682413741895,0.7859339410693895,6.356005641306803e-05,-0.0021102425437288
33941,2021-07-01 09:00:00,33476.605,33264.55,424.08000000000175,2919.505231,44.67503810823833,55254,920.9,33366.54874363803,33513.80905503323,0.4788033186785501,0.7148607471025816,15977.068377806234,23860.888521839788,1.0,0.0015652797988846,0.7529418780105767,-0.0001002339275542,-0.0036630872506664
33942,2021-07-01 10:00:00,33290.58,33191.01,388.0100000000021,3254.795892,43.25152616576753,52089,868.15,33244.47080899721,33364.33827637276,0.4992976988925383,0.7745288361326547,16598.79966817411,25721.00946283137,1.0,0.0015439931959157,0.7175145979209064,-4.608418983217076e-05,0.0072642187379549
33943,2021-07-01 11:00:00,33221.995,33694.355,584.489999999998,3648.167844,40.46630693190318,57441,957.35,33481.96971323453,33701.30145121234,0.5232258002852481,0.7800396912399198,17518.32697754883,26108.548028833666,1.0,0.0015318407754069,0.6392152264717424,0.0002662711780206,0.0043724545704903
33944,2021-07-01 12:00:00,33693.759999999995,33662.03,587.9300000000003,3748.713582,55.945468428853225,54759,912.65,33631.452821146035,33818.14738685991,0.5059396815068322,0.8755803104806913,17018.195082463517,29432.603244083028,1.0,0.0016918445234495,0.7141609986423023,-3.0813649186057075e-05,0.0005189530798645
33945,2021-07-01 13:00:00,33636.525,33435.565,417.2700000000041,2293.373842,28.915788772210792,44456,740.9333333333333,33649.750918545484,33782.04236598508,0.487788583012909,0.8074968933370724,16414.541775251946,27147.68614592856,1.0,0.0013964008893036,0.60199894566053,-0.0001261575401223,-0.0106647740303519
33946,2021-07-01 14:00:00,33429.57,33184.490000000005,555.0,4396.628329,65.37018011230657,65221,1087.0166666666669,33287.290710667585,33590.382580353944,0.5056087780229194,0.8201150326713715,16833.913762920045,27153.89767714593,1.0,0.0016860425622017,0.995461103169372,-9.757124356546508e-05,0.0055408246145074
33947,2021-07-01 15:00:00,33223.845,33442.815,520.6900000000023,2841.456929,53.30533018603189,53439,890.65,33469.79138790896,33599.63805223327,0.5199872416585696,0.7772457058042581,17403.36824189564,26031.817824159458,1.0,0.0018880948181846,1.1357750724448268,0.0001130773267438,-0.0052900449473306
33948,2021-07-01 16:00:00,33470.34,33158.6,412.2200000000012,3742.527465,99.87246968707136,52739,878.9833333333333,33292.87609263997,33492.78271765809,0.4863776533565899,0.8126820085969727,16192.405390186594,27127.667778209485,1.0,0.001661205269228,0.8026304996486089,-0.0001406449379587,0.0017288489099998
33949,2021-07-01 17:00:00,33176.08,33487.56,459.3600000000006,2348.306056,48.3436731867529,39299,654.9833333333333,33350.65626007909,33529.321500303064,0.5390259014141011,0.821859298659063,17978.144703652786,27440.383134155403,1.0,0.001457210971342,0.6855790332300612,0.0001692650979825,0.0050137349024456
